Period,Consumer Price Index  (2012=100),Index of Industrial Production,Wholesale Price Index (2011-12=100),Consumer Price Index for Agricultural Labourer,Consumer Price Index for Rural Labourer,Commercial Paper (Amount Outstanding) (in Crore),Consumer Price Index for Food and Beverages,Net Foreign Direct Investment (US $ Million),Direct Investment to India (US $ Million),Foreign Direct Investment By India (US $ Million),Net Portfolio Investment (US $ Million),Total Investment Inflows (US $ Million),FCNR(B)-Foreign Currency Non-Resident (Banks) (US $ Million),External Commercial Borrowings Registrations (US $ Million),Foreign Trade Exports Total (US $ Million),Foreign Trade Imports Total (US $ Million),Foreign Trade Balance Total (US $ Million),Market Borrowing SG Gross Amount Raised (in Crore),Exchange Rate of Indian Rupee to US Dollar (Month End)
Jan-2021,156.3,136.6,126.5,1038.0,1045.0,410651.9,157.6,1481.65,1901.82,420.18,6218.48,7700.13,21505.96,3744.0,27538.28,42030.07,-14491.79,56300.0,72.95
Dec-2020,157.3,137.4,125.4,1047.0,1053.0,365185.05,161.0,6239.35,7130.1,890.75,8551.18,14790.53,22127.57,2994.0,27216.29,42934.54,-15718.25,65326.47,73.05
Nov-2020,158.9,126.7,125.1,1060.0,1065.0,373146.1,165.4,7169.64,8023.82,854.19,10929.15,18098.78,21925.48,2045.0,23619.95,33812.29,-10192.34,64824.33,73.8
Oct-2020,158.4,129.6,123.6,1052.0,1057.0,380112.2,164.7,3971.04,4839.94,868.91,1736.89,5707.93,21958.27,2033.0,24920.41,34073.84,-9153.43,74710.0,73.97
Sep-2020,156.4,124.1,122.9,1037.0,1043.0,362310.1,161.4,2593.58,4117.64,1524.07,1177.95,3771.53,22291.43,5223.0,27559.04,30518.35,-2959.31,84525.0,73.8
Aug-2020,154.7,117.2,122.0,1026.0,1033.0,372600.8,158.0,18247.37,18698.79,451.42,5347.24,23594.61,22468.26,1751.0,22829.29,31034.01,-8204.72,56400.0,73.6
Jul-2020,153.9,117.9,121.0,1021.0,1028.0,374817.2,157.0,3583.53,4261.17,677.65,472.46,4055.99,22466.93,2148.0,23782.41,29116.06,-5333.66,60400.0,74.77
Jun-2020,151.8,107.9,119.3,1018.0,1024.0,391482.3,154.0,-914.4,64.18,978.58,3174.45,2260.05,22458.12,1022.0,22033.15,21323.55,709.6,48471.2,75.53
May-2020,150.9,90.2,117.5,1019.0,1025.0,425817.0,152.7,200.05,754.82,554.77,-560.88,-360.83,22875.76,1491.0,19246.54,22859.87,-3613.32,48450.0,75.64
Apr-2020,151.4,54.0,119.2,1014.0,1019.0,417227.05,154.0,186.42,1286.45,1100.04,-1971.91,-1785.49,23112.21,996.0,10173.26,17085.78,-6912.51,60055.0,75.12
Mar-2020,148.6,117.2,120.4,1007.0,1013.0,344526.95,148.9,3974.17,4936.72,962.55,-14635.16,-10660.99,24244.06,7437.0,21490.67,31470.92,-9980.25,117951.74,75.39
Feb-2020,149.1,134.2,122.2,1010.0,1016.0,400200.25,150.5,2737.1,4019.9,1282.8,-1148.26,1588.84,24241.58,4175.0,27742.76,37904.47,-10161.71,66257.32,72.19
Jan-2020,150.2,128.58333333333331,123.4,1016.0,1021.0,421988.85,153.5,5251.88,6228.83,976.95,2038.58,7290.46,24407.9,8401.0,25853.3,41149.5,-15296.19,75193.0,71.51
Dec-2019,150.4,134.5,123.0,1014.0,1019.0,414906.3,155.0,4326.41,5511.98,1185.56,-611.42,3715.0,24017.92,2097.0,27096.05,39594.1,-12498.05,47477.47,71.27
Nov-2019,148.6,128.8,122.3,1000.0,1006.0,458415.6,151.9,2770.46,3657.49,887.03,5860.45,8630.91,24325.73,2116.0,25744.49,38523.24,-12778.75,46020.85,71.73
Oct-2019,147.2,124.0,122.0,987.0,993.0,462308.75,149.6,2646.2,4064.01,1417.81,2580.08,5226.27,24710.1,3415.0,26212.39,37986.37,-11773.98,60160.76,70.81
Sep-2019,145.8,122.9,121.3,976.0,983.0,459742.1,147.0,1981.31,2949.69,968.38,2382.54,4363.85,24499.88,4889.0,26013.73,37694.82,-11681.09,48763.0,70.69
Aug-2019,145.0,126.2,121.5,965.0,972.0,497176.75,145.9,1850.74,2762.01,911.27,-363.14,1487.6,23895.34,3317.0,25987.94,39852.08,-13864.15,44553.0,71.76
Jul-2019,144.2,131.8,121.3,958.0,965.0,509412.8,144.7,3482.41,4681.37,1198.96,457.04,3939.45,23974.87,4981.0,26231.64,40430.65,-14199.01,50606.4,68.86
Jun-2019,144.1,129.3,121.5,950.0,957.0,503943.3,142.7,6788.6,7570.45,781.85,1895.73,8684.33,24363.94,5399.0,25027.35,41032.49,-16005.15,29851.0,68.92
May-2019,142.0,135.4,121.6,940.0,948.0,551983.5,140.9,2818.36,4083.55,1265.2,1835.93,4654.29,24318.28,3548.0,29849.71,46683.35,-16833.65,22100.0,69.81
Apr-2019,141.2,126.5,121.1,932.0,939.0,542885.8,139.4,4385.56,5540.16,1154.61,1111.03,5496.59,24579.71,3158.0,26037.65,42387.26,-16349.6,29572.0,69.84
Mar-2019,140.4,144.1,119.9,924.0,932.0,483084.45,138.1,789.18,3239.58,2450.4,8622.96,9412.13,23170.18,12725.0,32725.19,43690.44,-10965.26,62298.26,69.17
Feb-2019,139.9,127.6,119.5,917.0,925.0,520811.05,137.5,1949.2,2503.48,554.28,1174.65,3123.85,21623.3,2812.0,26862.08,36591.13,-9729.05,67735.0,71.2
Jan-2019,139.6,134.4,119.2,915.0,923.0,528741.2,137.4,3681.52,4046.86,365.34,-361.72,3319.79,21413.04,2417.0,26407.36,41455.21,-15047.85,61131.15,71.03
Dec-2018,140.1,133.9,119.7,913.0,921.0,498728.65,138.2,3112.49,4236.52,1124.02,-1343.96,1768.53,20839.86,3806.0,27858.29,42351.02,-14492.73,43896.48,69.79
Nov-2018,140.8,126.1,121.6,914.0,921.0,560613.81,139.7,1076.61,1584.78,508.17,2990.9,4067.51,20433.31,2066.0,26071.56,43655.19,-17583.62,39183.65,69.66
Oct-2018,140.7,132.8,122.0,913.0,920.0,587688.66,139.9,3120.15,4544.21,1424.05,-3757.58,-637.43,22163.01,1411.0,26673.95,44677.89,-18003.94,46576.55,73.99
Sep-2018,140.2,128.8,120.9,910.0,917.0,556198.16,140.4,3614.89,4671.12,1056.23,-1798.85,1816.04,22421.83,1706.0,27865.97,42819.59,-14953.62,25437.95,72.55
Aug-2018,140.4,128.0,120.1,907.0,915.0,632296.01,141.7,1986.94,2543.98,557.04,-2830.51,-843.57,22622.57,4827.0,27808.32,45731.11,-17922.79,28050.5,70.93
Jul-2018,139.8,125.7,119.9,902.0,910.0,639529.66,141.4,1808.5,2805.67,997.17,4831.49,6639.99,22777.03,2175.0,25754.24,44388.07,-18633.84,27426.25,68.61
Jun-2018,138.5,127.7,119.1,894.0,902.0,491833.06,139.4,1644.54,3015.49,1370.95,-3881.72,-2237.18,22568.22,2714.0,27158.08,44806.59,-17648.51,19979.6,68.58
May-2018,137.8,129.6,118.3,891.0,899.0,466886.96,138.1,3667.54,4637.5,969.95,-1373.35,2294.19,22245.87,1347.0,28944.97,43917.27,-14972.3,24880.0,67.45
Apr-2018,137.1,122.6,117.3,888.0,896.0,447691.41,137.5,4260.41,5473.06,1212.65,-2890.27,1370.15,21997.65,3917.0,25949.46,39966.95,-14017.49,31728.1,66.78
Mar-2018,136.5,140.3,116.3,887.0,894.0,372577.41,137.2,2051.24,3213.56,1162.31,-1390.18,661.06,22025.6,5075.0,29167.03,42801.16,-13634.13,419099.52,65.04
Feb-2018,136.4,127.4,116.1,889.0,896.0,455047.21,137.6,2667.79,3077.45,409.65,286.87,2954.67,21844.01,3100.0,26030.72,37871.27,-11840.55,257694.76166666666,65.1
Jan-2018,136.9,132.3,116.0,895.0,901.0,457498.66,139.2,1688.55,2314.12,625.57,3379.21,5067.75,22160.53,540.0,25407.74,40701.21,-15293.47,419099.52,63.69
Dec-2017,137.2,130.6,115.7,900.0,906.0,409053.31,140.5,2735.67,3284.86,549.19,-120.22,2615.45,21807.73,1305.0,27832.56,42030.79,-14198.23,351847.53736111114,63.93
Nov-2017,137.6,125.8,116.4,905.0,910.0,473679.8,142.1,956.14,1552.53,596.39,1590.83,2546.97,21169.81,3039.0,26292.66,41390.19,-15097.53,419099.52,64.43
Oct-2017,136.1,122.5,115.6,901.0,907.0,489231.8,140.1,631.53,1148.02,516.48,3850.89,4482.43,20636.73,4406.0,22888.7,37501.43,-14612.73,391077.86056712957,64.77
